IDs,ECFCs_Crit_C1,ECFCs_Crit_C2,ECFCs_Crit_C3,ECFCs_Crit_C4,ECFCs_Crit_C5,ECFCs_Crit_C6,ECFCs_Crit_C7,ECFCs_Crit_C8,ECFCs_PCR+_066,ECFCs_PCR+_081,ECFCs_PCR+_090,ECFCs_PCR+_111,ECFCs_PCR+_163,ECFCs_PCR+_169,ECFCs_PCR+_195,ECFCs_PCR+_299,ECFCs_Neg_001,ECFCs_Neg_013,ECFCs_Neg_0012,ECFCs_Neg_004,ECFCs_Neg_005,ECFCs_Neg_006,ECFCs_Neg_007,ECFCs_Neg_008
Q9HCG8,77.9015,86.1045,66.9549,77.8651,65.5874,71.9322,89.1639,90.1709,62.8407,60.7908,68.9981,68.9986,56.648,61.2734,49.0307,63.8435,89.667,167.748,110.019,89.6568,116.931,108.076,123.587,78.7518
Q9NNW5,92.1792,94.5492,81.3848,88.9856,72.9133,85.5916,98.1198,82.0304,90.2997,83.8775,93.4769,93.3304,90.9517,101.486,94.6625,90.6511,103.74,131.996,107.457,108.481,117.424,93.5923,105.9,99.2543
Q9NP77,105.42,131.01,176.42,112.563,101.36,138.642,114.148,146.131,86.8633,130.78,90.1158,84.9259,96.806,83.1192,72.3021,99.8523,29.042,,32.1897,28.6378,,20.8489,11.2446,19.4611
Q9NP92,44.6675,120.551,10.2745,17.0471,43.3928,10.6439,9.65945,5.02777,98.3237,58.1173,41.6061,36.0626,49.5197,36.3549,162.396,54.0787,291.226,541.526,486.712,147.008,322.366,274.656,311.6,337.568
Q9NQ88,166.563,152.235,157.024,148.089,129.124,154.254,163.662,158.417,159.429,150.196,169.85,162.475,149.714,162.272,157.604,161.164,190.443,188.453,182.142,152.504,189.058,185.943,192.722,186.601
Q9NVH0,41.8103,37.4794,39.4057,28.4448,16.3825,35.0323,31.0914,33.6554,50.3032,57.4336,47.9938,52.0811,43.2792,52.6053,60.0829,47.4029,57.6517,67.0158,69.0224,54.5023,70.6153,60.4099,58.1594,59.2679
Q9NX24,180.812,187.75,169.238,153.68,164.224,167.952,157.725,150.483,134.713,131.83,131.258,131.492,122.568,124.594,124.588,121.416,154.844,144.653,148.682,160.336,154.272,141.935,126.03,159.781
Q9NY61,19.8533,33.1612,20.388,20.8641,,15.6137,12.4482,13.9425,19.1277,12.3505,19.5543,19.1226,16.5658,18.7542,,25.3968,34.9731,86.4035,93.4163,40.0154,37.2044,22.3501,22.1039,53.1977
Q9NZL4,78.0488,81.4062,85.5872,70.6423,94.8973,77.89,87.1831,90.2915,51.2327,43.8894,57.7516,58.245,63.6911,56.144,56.2293,60.6438,66.6649,80.5725,87.4043,79.6387,72.0731,59.5933,69.7324,70.5127
Q9UBE0,88.1122,83.3722,90.0096,99.4179,103.241,103.461,92.0669,94.8898,87.4744,97.0902,106.904,99.1651,107.34,113.879,85.3441,101.335,82.8258,82.3386,79.3654,87.028,80.7732,75.6376,65.6933,88.8755
Q9UBT2,161.26,117.895,150.008,139.587,187.06,151.344,132.975,151.836,122.381,131.954,142.246,142.396,141.607,146.215,139.102,133.998,117.844,122.782,120.179,127.537,134.637,106.114,114.654,124.323
Q9UFG5,55.725,68.0852,64.4025,70.9207,64.6877,64.407,62.4837,63.5524,65.6385,57.467,46.9453,42.0384,59.5239,61.8587,66.8107,53.8108,86.5798,142.834,113.01,73.0738,72.8461,100.25,66.0477,80.846
Q9UGR2,81.788,104.58,183.84,152.549,73.2878,130.08,173.839,111.62,140.253,147.468,123.268,119.62,112.589,112.393,123.052,82.3275,77.0538,42.4104,28.3012,80.5195,29.8588,56.8826,48.9403,38.8049
Q9UKL0,209.428,176.847,143.892,176.835,119.365,156.989,184.218,154.606,94.6693,107.002,96.4127,109.424,118.343,97.306,100.347,111.353,124.175,127.823,112.575,118.346,125.968,121.318,120.947,118.445
Q9ULA0,104.84,127.969,104.761,119.209,112.081,114.344,87.7917,134.26,109.137,106.435,105.101,121.641,118.332,114.939,101.457,120.985,121.727,129.096,139.896,148.895,129.99,130.059,125.618,123.152
Q9UQB8,15.4633,20.7065,15.9808,9.36304,12.0543,15.5953,11.4904,2.33333,27.503,23.2506,18.5539,23.9785,28.2467,12.3583,17.4393,14.8926,56.0893,57.5129,61.1284,23.7674,29.2392,50.4726,35.6496,42.218
Q9Y287,29.2372,40.9453,90.6158,69.8036,54.4356,56.393,60.1472,67.6733,18.608,29.2841,52.8178,58.9224,40.6945,28.7035,24.9725,22.0478,1.9389,,,3.90638,,3.72545,11.7371,
Q9Y2D4,75.4131,50.8599,60.1188,61.3398,68.0484,60.0967,66.1894,55.3586,57.7328,57.9805,62.6213,60.7925,60.5205,61.0052,58.0926,61.1892,53.9485,51.0416,47.5813,56.6184,58.698,45.9134,44.39,47.7521
Q9Y2Q9,269.621,166.966,134.008,127.426,173.916,173.091,84.7757,158.183,170.669,233.317,184.578,144.987,157.475,194.208,321.482,156.479,122.97,76.5577,77.7066,76.2777,65.6009,115.942,165.591,144.04
Q9Y2T2,84.6998,84.7441,89.2438,78.2649,148.555,87.5064,83.7332,67.1274,76.0001,82.6812,83.0674,70.2186,71.617,92.9311,92.2617,70.388,61.8546,57.0897,60.7207,63.4104,66.96,67.5717,76.4674,62.3483
Q9Y394,63.9724,74.3851,36.0922,37.7038,48.0673,37.6356,36.4695,44.2574,83.1622,78.6872,70.2452,71.719,71.3994,72.6279,61.5888,64.6016,88.9737,92.5611,98.0047,89.5091,84.7739,86.1932,97.9934,79.8449
Q9Y3C0,173.486,236.67,170.588,166.105,216.809,178.306,187.192,154.278,171.971,140.557,164.225,188.894,181.095,141.639,160.504,207.457,308.579,1011.78,814.332,282.239,597.272,386.908,369.657,408.576
