IDs,ECFCs_Crit_C1,ECFCs_Crit_C2,ECFCs_Crit_C3,ECFCs_Crit_C4,ECFCs_Crit_C5,ECFCs_Crit_C6,ECFCs_Crit_C7,ECFCs_Crit_C8,ECFCs_PCR+_066,ECFCs_PCR+_081,ECFCs_PCR+_090,ECFCs_PCR+_111,ECFCs_PCR+_163,ECFCs_PCR+_169,ECFCs_PCR+_195,ECFCs_PCR+_299,ECFCs_Neg_001,ECFCs_Neg_013,ECFCs_Neg_0012,ECFCs_Neg_004,ECFCs_Neg_005,ECFCs_Neg_006,ECFCs_Neg_007,ECFCs_Neg_008
P16885,,127.366,101.215,102.712,100.311,111.42,130.649,101.724,77.741,76.0968,49.7155,47.3438,63.4441,59.4261,55.8918,56.6552,45.5801,26.7395,26.914,45.082,40.8024,44.8963,35.2736,29.2536
P18084,4.25158,10.1686,21.0954,30.5035,44.9486,18.8378,18.7518,23.9556,10.8313,25.3397,15.3225,12.4329,8.33182,16.4881,11.9475,8.61115,10.3944,,1.90758,5.84341,,7.1062,2.85999,2.86085
P20020,49.2163,55.8086,25.2391,22.64,70.4477,40.3148,28.0069,28.2132,71.1506,43.494,40.5463,38.9818,36.4443,43.4355,50.666,46.9476,78.7269,68.2896,60.8194,82.0777,74.4011,74.9167,76.4424,66.0646
P25325,175.099,133.179,144.197,141.467,143.153,137.034,133.55,138.188,177.87,152.848,168.701,164.698,150.616,176.461,151.352,159.872,186.722,211.034,205.359,181.602,237.859,191.83,173.465,206.81
P26885,102.96,64.4327,82.1405,52.796,85.8547,62.0796,68.0857,69.0604,58.5589,83.2727,58.1621,69.9621,50.7931,31.1757,74.2882,30.3693,31.473,,10.1695,24.4358,15.0024,34.3414,33.8143,20.5077
P29084,89.838,12.7441,27.6276,91.1014,85.4346,103.187,94.3871,65.9444,56.219,62.353,57.9276,48.2177,51.954,56.9039,55.716,43.3555,43.4725,,,28.4492,26.9037,33.1031,18.1438,23.0435
P32969,205.842,240.016,200.013,191.294,199.611,191.227,204.296,170.107,263.508,273.069,196.058,180.796,185.196,211.124,202.181,184.306,137.003,113.638,113.434,142.389,158.961,139.556,115.367,151.946
P33121,62.4925,44.8266,25.4381,19.2137,35.9289,32.6404,25.4538,24.9554,45.2421,35.7169,21.5038,18.8489,19.7897,28.9345,64.2302,38.4743,69.175,73.9676,61.2983,51.4765,84.988,64.4053,103.088,59.3762
P40227,111.436,98.9345,127.223,116.778,130.92,126.545,114.896,125.012,100.066,126.284,118.63,112.361,109.664,112.297,120.567,96.5749,96.7444,78.8647,85.257,84.1089,92.9309,96.1366,94.9921,87.8236
P42785,131.88,146.019,173.717,169.642,131.947,145.002,137.606,147.846,94.0353,111.426,112.849,115.214,112.894,119.603,118.847,110.083,72.1937,93.169,80.5334,104.917,56.7358,60.7184,75.4458,92.4034
P43243,185.04,176.135,182.941,181.762,176.205,176.433,168.786,157.751,139.615,141.725,139.069,141.629,136.978,144.216,133.197,135.816,151.18,145.724,148.009,149.709,138.902,149.322,145.713,142.945
P46926,179.911,150.441,176.349,130.965,193.114,143.222,144.264,142.937,122.659,137.697,118.544,119.73,115.326,110.881,125.361,108.239,101.471,82.9604,83.6438,110.774,69.5872,102.734,92.1521,78.7287
