proteins	Protein_abundance_rank	Coefficient_of_variation	CVs
P01780	150	29.07061793	21-40% : 204
P01824	151	48.71874328	>41% : 156
P18428	152	10.51255981	<=20% : 885
Q9HDC9	153	9.474932616	<=20% : 885
P02788	154	4.145315046	<=20% : 885
P0DP24	155	5.962298973	<=20% : 885
P14543	156	3.256198958	<=20% : 885
P51884	157	3.379967798	<=20% : 885
O14791-2	158	9.765137051	<=20% : 885
P55056	159	7.718106039	<=20% : 885
Q06033-2	160	9.77385067	<=20% : 885
Q9Y490	161	8.245636139	<=20% : 885
O95445	162	6.045303696	<=20% : 885
P04433	163	46.03101703	>41% : 156
A0A0G2JPR0	164	13.94106383	<=20% : 885
Q13201	165	6.552740398	<=20% : 885
P19827	166	5.775475869	<=20% : 885
P01008	167	10.44181455	<=20% : 885
Q9BXJ4-3	168	13.49640103	<=20% : 885
P55774	169	56.85432564	>41% : 156
A0A0B4J1Y9	170	50.50890322	>41% : 156
P26927	171	53.42465503	>41% : 156
P06733	172	32.00887801	21-40% : 204
P01717	173	7.288887233	<=20% : 885
Q92743	174	6.020622769	<=20% : 885
Q6Q788	175	7.340599693	<=20% : 885
P01034	176	51.90745766	>41% : 156
B4E1Z4	177	56.66944238	>41% : 156
Q07507	178	14.40849496	<=20% : 885
P06702	179	9.474902869	<=20% : 885
P05090	180	7.906705942	<=20% : 885
P11021	181	9.979383505	<=20% : 885
A0A0B4J1U7	182	74.02703474	>41% : 156
Q14766	183	1.918031532	<=20% : 885
O15335	184	9.484415818	<=20% : 885
P59665	185	5.775574416	<=20% : 885
P14618	186	2.980855207	<=20% : 885
P23284	187	43.54716647	>41% : 156
Q13790	188	32.090572	21-40% : 204
P10451-4	189	3.639625941	<=20% : 885
P01782	190	28.26958105	21-40% : 204
P02790	191	4.935574352	<=20% : 885
P03973	192	5.775502916	<=20% : 885
P23528	193	41.9138533	>41% : 156
Q96PD5	194	2.574138796	<=20% : 885
Q8NI99	195	2.488543562	<=20% : 885
P27797	196	11.20402763	<=20% : 885
P63261	197	6.045334513	<=20% : 885
P06753-2	198	8.129867166	<=20% : 885
P49913	199	6.552748909	<=20% : 885
P48061-2	200	46.10156935	>41% : 156
P14314-2	201	6.899956735	<=20% : 885
Q86UX7-2	202	3.705964136	<=20% : 885
P10646	203	9.149686433	<=20% : 885
P02751-11	204	59.99266723	>41% : 156
P01602	205	54.16165293	>41% : 156
K7ERG9	206	5.76758781	<=20% : 885
Q16627	207	52.20108033	>41% : 156
